#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,1.0000,-0.12,-0.40
2,109.0,1.0000,-0.12,-0.40
3,118.9,1.0000,-0.10,-0.38
4,129.6,1.0000,-0.08,-0.39
5,141.3,1.0000,-0.08,-0.38
6,154.0,1.0000,-0.07,-0.40
7,167.9,1.0000,-0.07,-0.40
8,183.0,1.0000,-0.06,-0.45
9,199.5,1.0000,-0.06,-0.46
10,217.5,1.0000,-0.04,-0.56
11,237.1,1.0000,-0.05,-0.59
12,258.5,1.0000,-0.04,-0.63
13,281.8,1.0000,-0.03,-0.71
14,307.3,1.0000,-0.05,-0.80
15,335.0,1.0000,-0.05,-0.86
16,365.2,1.0000,-0.05,-0.96
17,398.1,1.0000,-0.04,-1.03
18,434.0,1.0000,-0.05,-1.15
19,473.2,1.0000,-0.04,-1.26
20,515.8,1.0000,-0.05,-1.32
21,562.3,1.0000,-0.05,-1.48
22,613.1,1.0000,-0.05,-1.60
23,668.3,1.0000,-0.05,-1.72
24,728.6,1.0000,-0.05,-1.89
25,794.3,1.0000,-0.05,-2.06
26,866.0,1.0000,-0.06,-2.22
27,944.1,1.0000,-0.06,-2.41
28,1029.2,1.0000,-0.06,-2.58
29,1122.0,1.0000,-0.06,-2.77
30,1223.2,1.0000,-0.07,-2.98
31,1333.5,1.0000,-0.09,-3.21
32,1453.8,1.0000,-0.09,-3.42
33,1584.9,1.0000,-0.09,-3.71
34,1727.8,1.0000,-0.10,-3.96
35,1883.6,1.0000,-0.10,-4.24
36,2053.5,1.0000,-0.09,-4.53
37,2238.7,1.0000,-0.09,-4.87
38,2440.6,1.0000,-0.08,-5.22
39,2660.7,1.0000,-0.06,-5.60
40,2900.7,1.0000,-0.05,-5.99
41,3162.3,1.0000,-0.02,-6.43
42,3447.5,1.0000,0.00,-6.94
43,3758.4,1.0000,0.06,-7.49
44,4097.3,1.0000,0.12,-8.12
45,4466.8,1.0000,0.18,-8.78
46,4869.7,1.0000,0.26,-9.57
47,5308.8,1.0000,0.37,-10.48
48,5787.6,1.0000,0.47,-11.50
49,6309.6,1.0000,0.64,-12.66
50,6878.6,1.0000,0.81,-14.04
51,7498.9,1.0000,1.03,-15.67
52,8175.2,1.0000,1.30,-17.59
53,8912.5,1.0000,1.61,-19.93
54,9716.3,1.0000,1.98,-22.79
55,10592.5,1.0000,2.45,-26.40
56,11547.8,1.0000,3.00,-31.12
57,12589.3,1.0000,3.62,-37.20
58,13724.6,1.0000,4.27,-45.47
59,14962.4,1.0000,4.87,-56.56
60,16311.7,1.0000,5.21,-71.03
61,17782.8,1.0000,4.89,-88.22
62,19386.5,1.0000,3.79,-105.55
63,21134.9,1.0000,2.04,-120.29
64,23040.9,1.0000,-0.01,-131.69
65,25118.9,1.0000,-2.14,-140.11
66,27384.2,1.0000,-4.25,-146.30
67,29853.8,1.0000,-6.26,-151.01
68,32546.2,1.0000,-8.18,-154.62
69,35481.3,1.0000,-10.04,-157.72
70,38681.2,1.0000,-11.84,-160.06
71,42169.7,1.0000,-13.59,-161.89
72,45972.7,1.0000,-15.27,-163.58
73,50118.7,1.0000,-16.93,-164.99
74,54638.7,1.0000,-18.62,-166.30
75,59566.2,1.0000,-20.23,-167.28
76,64938.2,1.0000,-21.82,-168.20
77,70794.6,1.0000,-23.38,-168.94
78,77179.2,1.0000,-24.95,-169.74
79,84139.5,1.0000,-26.50,189.72
80,91727.6,1.0000,-28.04,188.99
81,100000.0,1.0000,-29.57,188.72
